Job Name  	Count
----------------
reader_ME+	8396
ood_jupyt+	2749
ood_vscode	2071
reader_M  	1582
train.slu+	1389
run-%A-%a 	1158
hydra-gri+	981
ood_jupy  	942
ood_vsco  	788
hydra-gr  	778
interacti+	772
run-%A-%  	745
run_proc.+	602
llm       	602
test_loca+	484
break_me  	463
train_mio+	420
run.slurm 	393
run_proc  	381
relax.sl  	356
finetune_+	305
ood_deskt+	304
phi_finet+	294
relax.slu+	285
CAV1_path+	282
tts_speech	251
hans_gpt_+	250
llama     	245
qnli_gpt_+	229
run.slur  	225
hans_opt_+	224
sst2_gpt_+	200
hans_gpt  	198
qnli_opt_+	198
paws_opt_+	188
paws_gpt_+	185
wnli_gpt_+	185
mrpc_opt_+	185
sst2_opt_+	185
mrpc_gpt_+	183
rte_gpt_2+	183
wnli_opt_+	182
virtualgc+	180
break_me_+	173
sample    	166
hans_opt  	161
TMDs_unp  	158
qnli_gpt  	154
submit.sh 	147
ldm_train 	138
qnli_opt  	137
sst2_gpt  	136
paws_gpt  	128
TMDs_unpo+	127
sbatch_fo+	126
llm_attn_+	123
job4.slu  	122
---- 50% ----
rte_gpt_  	121
mrpc_gpt  	121
paws_opt  	121
wnli_gpt  	120
sst2_opt  	113
rte_opt_  	112
mrpc_opt  	110
wnli_opt  	106
rte_opt_1+	106
interact  	105
ldm_trai  	105
speech    	102
ood_rstud+	96
job3.slu  	94
ood_desk  	93
qnli_mist+	89
atacforme+	82
01b-pre-x+	82
i-rag_0   	81
i-rag_3   	81
i-rag_2   	80
i-rag_1   	78
train_gpu+	74
KS_t4     	72
01b-pre-  	72
submit_re+	72
KS_t1     	70
KS_t5     	70
KS_t3     	70
KS_t2     	70
VS Code T+	70
qnli_mis  	69
cv_like_h+	67
bash      	66
hans_mist+	66
job2.slurm	65
job2.slu  	64
atacform  	61
loso_fine+	59
myjob.slu+	58
submit_r  	58
hans_mis  	57
test.slurm	55
rte_opt_6+	55
ood_rstu  	54
EgoExoEMS+	53
benchmark 	52
abp_safet+	52
react_3   	51
hans_16_  	48
util388   	47
util387   	47
util381   	47
util377   	47
util273   	47
util271   	47
util266   	47
util265   	47
util264   	47
util259   	47
util258   	47
util257   	47
util253   	47
util241   	47
util234   	47
util233   	47
util229   	47
util226   	47
util206   	47
train_mdl+	47
hans_1000+	46
paws_llam+	46
2bit      	46
util400   	46
util399   	46
util398   	46
util397   	46
util396   	46
util395   	46
util394   	46
util393   	46
util392   	46
util391   	46
util390   	46
util389   	46
util386   	46
util385   	46
util384   	46
util383   	46
util382   	46
util380   	46
util379   	46
util378   	46
util376   	46
util375   	46
util374   	46
util373   	46
util372   	46
util371   	46
util370   	46
util369   	46
util368   	46
util367   	46
util366   	46
util365   	46
util364   	46
util363   	46
util362   	46
util361   	46
util360   	46
util359   	46
util358   	46
util357   	46
util356   	46
util355   	46
util354   	46
util353   	46
util352   	46
util351   	46
util349   	46
util348   	46
util347   	46
util346   	46
util345   	46
util344   	46
util343   	46
util342   	46
util341   	46
util340   	46
util339   	46
util337   	46
util336   	46
util335   	46
util334   	46
util333   	46
util305   	46
util304   	46
util303   	46
util302   	46
util301   	46
util300   	46
util299   	46
util298   	46
util297   	46
hans_llam+	46
util338   	45
util296   	45
shuffle_0+	44
util350   	44
util332   	44
util331   	44
util330   	44
util329   	44
util328   	44
util327   	44
util326   	44
util325   	44
util324   	44
util323   	44
util322   	44
util321   	44
util320   	44
util319   	44
util318   	44
util317   	44
util316   	44
util315   	44
util314   	44
util313   	44
util312   	44
util311   	44
util310   	44
util309   	44
util308   	44
util307   	44
util306   	44
util295   	44
util294   	44
util293   	44
util292   	44
util291   	44
util290   	44
util289   	44
util288   	44
util287   	44
util286   	44
util285   	44
util284   	44
util283   	44
util282   	44
util281   	44
util280   	44
util279   	44
util278   	44
util277   	44
util276   	44
util275   	44
util274   	44
util272   	44
util270   	44
util269   	44
util268   	44
util267   	44
util263   	44
util262   	44
util261   	44
util260   	44
util256   	44
util255   	44
util254   	44
util252   	44
util250   	44
util249   	44
util248   	44
util247   	44
util246   	44
util245   	44
util244   	44
util243   	44
util242   	44
util240   	44
util239   	44
util238   	44
util237   	44
util236   	44
util235   	44
util231   	44
util230   	44
util228   	44
util205   	44
util204   	44
util203   	44
i-rag_7   	44
util251   	43
util232   	43
util227   	43
util225   	43
util224   	43
util223   	43
util222   	43
util221   	43
util220   	43
util219   	43
util218   	43
util217   	43
util216   	43
util215   	43
util214   	43
util213   	43
util212   	43
util211   	43
util210   	43
util209   	43
util208   	43
util207   	43
util202   	43
util201   	43
util200   	43
util199   	43
util198   	43
util197   	43
util196   	43
util195   	43
util194   	43
util193   	43
util192   	43
util191   	43
util190   	43
util189   	43
util188   	43
util187   	43
util186   	43
util185   	43
util184   	43
util183   	43
util182   	43
util181   	43
util180   	43
util179   	43
util178   	43
util177   	43
util176   	43
util175   	43
util174   	43
util173   	43
util171   	43
util172   	42
util170   	42
util169   	42
util168   	42
util167   	42
util165   	42
util164   	42
util163   	42
util162   	42
util161   	42
util160   	42
util159   	42
util158   	42
util156   	42
util155   	42
util153   	42
util148   	42
util144   	42
util139   	42
util138   	42
util136   	42
util135   	42
util129   	42
util128   	42
util118   	42
util117   	42
util116   	42
util115   	42
util113   	42
util112   	42
util111   	42
util110   	42
util92    	42
loso_scra+	41
util166   	41
util157   	41
util154   	41
util152   	41
util151   	41
util150   	41
util149   	41
util114   	41
util109   	41
util108   	41
util107   	41
util106   	41
util105   	41
util104   	41
util102   	41
util101   	41
util100   	41
util99    	41
1_1.slurm 	41
1_79.slurm	41
TF1_AGE3  	40
myjob.sl  	40
hans_16_c+	40
wktext2   	40
launch_4d+	40
util53    	40
util64    	40
util67    	40
util65    	40
util61    	40
util52    	40
util69    	40
util147   	40
util146   	40
util145   	40
util143   	40
util142   	40
util141   	40
util140   	40
util137   	40
util134   	40
util133   	40
util132   	40
util131   	40
util130   	40
util127   	40
util126   	40
util125   	40
util124   	40
util123   	40
util122   	40
util121   	40
util120   	40
util119   	40
util103   	40
util98    	40
util97    	40
util96    	40
util95    	40
util94    	40
util93    	40
util91    	40
util90    	40
util89    	40
util88    	40
util87    	40
util86    	40
util85    	40
util84    	40
util83    	40
util82    	40
util81    	40
util80    	40
util79    	40
util78    	40
util77    	40
util76    	40
util75    	40
util74    	40
util73    	40
util72    	40
util71    	40
util70    	40
util68    	40
util66    	40
util62    	40
i-rag_5   	40
i-rag_6   	40
hans_lla  	40
qnli_llam+	40
job4.slurm	39
resume.sl+	39
sched582  	38
sched564  	38
util63    	38
util60    	38
util47    	38
i-rag_4   	38
util34    	37
util35    	37
---- 80% ----
util45    	37
util46    	37
util54    	37
util55    	37
util56    	37
util59    	37
util38    	36
util31    	36
util57    	36
util58    	36
gpu_test  	36
qnli_lla  	36
dpo_0     	35
util33    	35
util43    	35
util44    	35
util48    	35
util49    	35
util50    	35
util51    	35
3dgs_moni+	35
resume.s  	34
VS        	34
ivm663    	34
instruct_+	34
job3.slurm	34
test_run  	34
util2     	34
util40    	34
util41    	34
util42    	34
J2_1.00.s+	33
util427   	33
util36    	33
util37    	33
util39    	33
2_1.slurm 	33
2_79.slurm	33
gpu_test_+	33
paws_lla  	33
hans_100  	32
dpo_2     	32
dpo_3     	32
dpo_1     	32
util26    	32
fiber_seg+	32
util456   	31
util455   	31
util453   	31
util450   	31
util1     	31
util8     	31
util22    	31
util30    	31
react_0   	31
react_1   	31
1_10.slurm	31
1_33.slurm	31
1_42.slurm	31
util492   	30
util463   	30
util462   	30
util461   	30
util460   	30
util459   	30
util458   	30
util457   	30
util454   	30
util452   	30
util451   	30
util449   	30
util448   	30
util447   	30
util442   	30
util441   	30
util439   	30
util437   	30
util435   	30
util434   	30
util433   	30
util432   	30
util431   	30
util430   	30
submit.s  	30
instruct  	29
phi_fine  	29
04b-pre-x+	29
util500   	29
util499   	29
util498   	29
util497   	29
util496   	29
util495   	29
util494   	29
util493   	29
util491   	29
util490   	29
util489   	29
util488   	29
util487   	29
util486   	29
util485   	29
util484   	29
util483   	29
util482   	29
util481   	29
util480   	29
util479   	29
util478   	29
util477   	29
util476   	29
util475   	29
util474   	29
util473   	29
util472   	29
util471   	29
util470   	29
util469   	29
util468   	29
util467   	29
util466   	29
util465   	29
util464   	29
util446   	29
util445   	29
util444   	29
util443   	29
util440   	29
util438   	29
util436   	29
util429   	29
util428   	29
util426   	29
util425   	29
